kosisCode7,hjdongCode8,name
3138031,31580310,강상면
3138032,31580320,강하면
3138033,31580330,양서면
3138034,31580340,옥천면
1110060,11100600,창2동
3138035,31580350,서종면
3138036,31580360,단월면
3138037,31580370,청운면
3138038,31580380,양동면
3138039,31580390,지평면
3138040,31580400,용문면
3138041,31580410,개군면
1110061,11100610,창3동
3201011,32010110,신북읍
3201031,32010310,동면
3201032,32010320,동산면
3201033,32010330,신동면
3201034,32010340,동내면
3201035,32010350,남면
3201036,32010360,남산면
3201037,32010370,서면
3201038,32010380,사북면
1110062,11100620,창4동
3201039,32010390,북산면
3201052,32010520,교동
3201053,32010530,조운동
3201054,32010540,약사명동
3201057,32010570,근화동
3201058,32010580,소양동
3201060,32010600,후평1동
