kosisCode7,hjdongCode8,name
2901066,29010660,보람동
2901064,29010640,대평동
2901065,29010710,소담동
2901069,29010690,도담동
2901059,29010590,아름동
2901060,29010600,고운동
2901056,29010560,종촌동
1107073,11070730,망우본동
3101154,31011540,파장동
3101155,31011550,율천동
3101156,31011560,정자1동
3101162,31011620,정자3동
3101157,31011570,정자2동
3101158,31011580,영화동
3101159,31011590,송죽동
3101160,31011600,조원1동
3101163,31011630,조원2동
3101161,31011610,연무동
3101252,31012520,세류1동
1101063,11010630,종로5·6가동
1107068,11070680,망우3동
3101253,31012530,세류2동
3101254,31012540,세류3동
3101255,31012550,평동
3101256,31012560,서둔동
3101257,31012570,구운동
3101265,31012650,금곡동
3101266,31012660,호매실동
3101260,31012600,권선1동
1107069,11070690,신내1동
3101264,31012640,권선2동
3101261,31012610,곡선동
3101262,31012620,입북동
3101372,31013720,행궁동
3101367,31013670,매교동
1107070,11070700,신내2동
3101369,31013690,고등동
3101370,31013700,화서1동
3101371,31013710,화서2동
3101353,31013530,지동
3101354,31013540,우만1동
3101355,31013550,우만2동
3101356,31013560,인계동
3101451,31014510,매탄1동
3101452,31014520,매탄2동
3101453,31014530,매탄3동
3101454,31014540,매탄4동
3101460,31014600,원천동
3101462,31014620,광교1동
3101463,31014630,광교2동
3101464,31014640,영통1동
3101465,31014650,영통2동
3101466,31014660,영통3동
3101467,31014670,망포1동
1108081,11080810,성북동
3102151,31021510,신흥1동
3102152,31021520,신흥2동
3102153,31021530,신흥3동
3102154,31021540,태평1동
3102155,31021550,태평2동
3102156,31021560,태평3동
3102157,31021570,태평4동
3102158,31021580,수진1동
3102159,31021590,수진2동
3102160,31021600,단대동
3102161,31021610,산성동
3102162,31021620,양지동
3102167,31021670,복정동
3102168,31021680,위례동
3102164,31021640,신촌동
3102165,31021650,고등동
3102166,31021660,시흥동
1108082,11080820,삼선동
3102251,31022510,성남동
3102253,31022530,금광1동
3102254,31022540,금광2동
3102255,31022550,은행1동
3102256,31022560,은행2동
3102257,31022570,상대원1동
3102258,31022580,상대원2동
3102259,31022590,상대원3동
3102260,31022600,하대원동
3102261,31022610,도촌동
3102262,31022620,중앙동
3102351,31023510,분당동
3102352,31023520,수내3동
3102353,31023530,수내1동
3102354,31023540,수내2동
3102355,31023550,정자2동
3102356,31023560,정자3동
3102377,31023770,정자1동
3102378,31023780,정자동
3102358,31023580,서현1동
3102359,31023590,서현2동
3102360,31023600,이매1동
3102361,31023610,이매2동
3102362,31023620,야탑1동
3102363,31023630,야탑3동
1101064,11010640,이화동
1108083,11080830,동선동
3102364,31023640,야탑2동
3102375,31023750,판교동
3102376,31023760,백현동
3102374,31023740,삼평동
3102371,31023710,금곡동
3102372,31023720,구미1동
3102367,31023670,구미동
3102368,31023680,운중동
3103069,31030690,의정부1동
3103052,31030520,의정부2동
3103069,31030690,의정부1동
3103055,31030550,호원1동
3103065,31030650,호원2동
3103056,31030560,장암동
3103057,31030570,신곡1동
3103058,31030580,신곡2동
3103059,31030590,송산1동
3103070,31030700,송산2동
1108058,11080580,돈암1동
3103060,31030600,자금동
3103068,31030680,가능동
3103067,31030670,흥선동
3103064,31030640,녹양동
3104151,31041510,안양1동
3104152,31041520,안양2동
1108059,11080590,돈암2동
3104153,31041530,안양3동
3104154,31041540,안양4동
3104155,31041550,안양5동
3104156,31041560,안양6동
3104157,31041570,안양7동
3104158,31041580,안양8동
3104159,31041590,안양9동
3104160,31041600,석수1동
