sourceCode,targetCode,mappingType,ratio,description
26510340,26510340,UNCHANGED,1.0,
26510360,26510360,UNCHANGED,1.0,
26510370,26510370,UNCHANGED,1.0,
26510380,26510380,UNCHANGED,1.0,
26510160,26510160,UNCHANGED,1.0,
26510400,26510400,UNCHANGED,1.0,
29010110,29010110,UNCHANGED,1.0,
11070640,11070640,UNCHANGED,1.0,
29010311,29010311,UNCHANGED,1.0,
29010312,29010312,UNCHANGED,1.0,
29010330,29010330,UNCHANGED,1.0,
29010340,29010340,UNCHANGED,1.0,
29010350,29010350,UNCHANGED,1.0,
29010360,29010360,UNCHANGED,1.0,
29010370,29010370,UNCHANGED,1.0,
29010380,29010380,UNCHANGED,1.0,
29010390,29010390,UNCHANGED,1.0,
29010610,29010610,UNCHANGED,1.0,
11070650,11070650,UNCHANGED,1.0,
29010521,29010521,UNCHANGED,1.0,
29010660,29010660,UNCHANGED,1.0,
29010640,29010640,UNCHANGED,1.0,
29010710,29010710,UNCHANGED,1.0,
29010514,29010514,UNCHANGED,1.0,
29010590,29010590,UNCHANGED,1.0,
29010600,29010600,UNCHANGED,1.0,
29010560,29010560,UNCHANGED,1.0,
11070730,11070730,UNCHANGED,1.0,
31011540,31011540,UNCHANGED,1.0,
31011550,31011550,UNCHANGED,1.0,
31011560,31011560,UNCHANGED,1.0,
31011620,31011620,UNCHANGED,1.0,
31011570,31011570,UNCHANGED,1.0,
31011580,31011580,UNCHANGED,1.0,
31011590,31011590,UNCHANGED,1.0,
31011600,31011600,UNCHANGED,1.0,
31011630,31011630,UNCHANGED,1.0,
31011610,31011610,UNCHANGED,1.0,
31012520,31012520,UNCHANGED,1.0,
11010630,11010630,UNCHANGED,1.0,
11070680,11070680,UNCHANGED,1.0,
31012530,31012530,UNCHANGED,1.0,
31012540,31012540,UNCHANGED,1.0,
31012550,31012550,UNCHANGED,1.0,
31012560,31012560,UNCHANGED,1.0,
31012570,31012570,UNCHANGED,1.0,
31012650,31012650,UNCHANGED,1.0,
31012660,31012660,UNCHANGED,1.0,
31012600,31012600,UNCHANGED,1.0,
